datetime_local,UVI_all,UVI_clear
2025-08-26 00:00:00-07:00,0.00,0.00
2025-08-26 01:00:00-07:00,0.00,0.00
2025-08-26 02:00:00-07:00,0.00,0.00
2025-08-26 03:00:00-07:00,0.00,0.00
2025-08-26 04:00:00-07:00,0.00,0.00
2025-08-26 05:00:00-07:00,0.00,0.00
2025-08-26 06:00:00-07:00,0.23,0.23
2025-08-26 07:00:00-07:00,1.98,1.98
2025-08-26 08:00:00-07:00,4.26,4.26
2025-08-26 09:00:00-07:00,6.50,6.50
2025-08-26 10:00:00-07:00,8.42,8.42
2025-08-26 11:00:00-07:00,9.80,9.80
2025-08-26 12:00:00-07:00,10.50,10.50
2025-08-26 13:00:00-07:00,10.44,10.44
2025-08-26 14:00:00-07:00,9.64,9.64
2025-08-26 15:00:00-07:00,8.16,8.16
2025-08-26 16:00:00-07:00,6.18,6.18
2025-08-26 17:00:00-07:00,3.92,3.92
2025-08-26 18:00:00-07:00,1.66,1.66
2025-08-26 19:00:00-07:00,0.12,0.12
2025-08-26 20:00:00-07:00,0.00,0.00
2025-08-26 21:00:00-07:00,0.00,0.00
2025-08-26 22:00:00-07:00,0.00,0.00
2025-08-26 23:00:00-07:00,0.00,0.00
