datetime_local,UVI_all,UVI_clear
2025-08-17 00:00:00+02:00,0.00,0.00
2025-08-17 01:00:00+02:00,0.00,0.00
2025-08-17 02:00:00+02:00,0.00,0.00
2025-08-17 03:00:00+02:00,0.00,0.00
2025-08-17 04:00:00+02:00,0.00,0.00
2025-08-17 05:00:00+02:00,0.00,0.00
2025-08-17 06:00:00+02:00,0.20,0.20
2025-08-17 07:00:00+02:00,1.50,1.50
2025-08-17 08:00:00+02:00,3.80,3.80
2025-08-17 09:00:00+02:00,6.40,6.40
2025-08-17 10:00:00+02:00,8.40,8.40
2025-08-17 11:00:00+02:00,9.40,9.40
2025-08-17 12:00:00+02:00,9.70,9.70
2025-08-17 13:00:00+02:00,9.40,9.40
2025-08-17 14:00:00+02:00,8.10,8.10
2025-08-17 15:00:00+02:00,6.20,6.20
2025-08-17 16:00:00+02:00,4.00,4.00
2025-08-17 17:00:00+02:00,2.00,2.00
2025-08-17 18:00:00+02:00,0.70,0.70
2025-08-17 19:00:00+02:00,0.10,0.10
2025-08-17 20:00:00+02:00,0.00,0.00
2025-08-17 21:00:00+02:00,0.00,0.00
2025-08-17 22:00:00+02:00,0.00,0.00
2025-08-17 23:00:00+02:00,0.00,0.00
