datetime_local,UVI_all,UVI_clear
2025-08-17 00:00:00+01:00,0.0,0.0
2025-08-17 01:00:00+01:00,0.0,0.0
2025-08-17 02:00:00+01:00,0.0,0.0
2025-08-17 03:00:00+01:00,0.0,0.0
2025-08-17 04:00:00+01:00,0.0,0.0
2025-08-17 05:00:00+01:00,0.0,0.0
2025-08-17 06:00:00+01:00,0.0,0.0
2025-08-17 07:00:00+01:00,0.25,0.25
2025-08-17 08:00:00+01:00,1.0,1.0
2025-08-17 09:00:00+01:00,2.1,2.1
2025-08-17 10:00:00+01:00,3.35,3.35
2025-08-17 11:00:00+01:00,4.6,4.6
2025-08-17 12:00:00+01:00,5.5,5.5
2025-08-17 13:00:00+01:00,6.05,6.05
2025-08-17 14:00:00+01:00,6.05,6.05
2025-08-17 15:00:00+01:00,5.6,5.6
2025-08-17 16:00:00+01:00,4.75,4.75
2025-08-17 17:00:00+01:00,3.55,3.55
2025-08-17 18:00:00+01:00,2.25,2.25
2025-08-17 19:00:00+01:00,1.15,1.15
2025-08-17 20:00:00+01:00,0.3,0.3
2025-08-17 21:00:00+01:00,0.0,0.0
2025-08-17 22:00:00+01:00,0.0,0.0
2025-08-17 23:00:00+01:00,0.0,0.0
