datetime_local,UVI_all,UVI_clear
2025-08-17 00:00:00-04:00,0.0,0.0
2025-08-17 01:00:00-04:00,0.0,0.0
2025-08-17 02:00:00-04:00,0.0,0.0
2025-08-17 03:00:00-04:00,0.0,0.0
2025-08-17 04:00:00-04:00,0.0,0.0
2025-08-17 05:00:00-04:00,0.0,0.0
2025-08-17 06:00:00-04:00,0.0,0.0
2025-08-17 07:00:00-04:00,0.15,0.15
2025-08-17 08:00:00-04:00,0.95,0.95
2025-08-17 09:00:00-04:00,2.25,2.3
2025-08-17 10:00:00-04:00,3.85,3.9
2025-08-17 11:00:00-04:00,5.45,5.45
2025-08-17 12:00:00-04:00,6.6,6.6
2025-08-17 13:00:00-04:00,7.0,7.25
2025-08-17 14:00:00-04:00,7.25,7.25
2025-08-17 15:00:00-04:00,6.5,6.65
2025-08-17 16:00:00-04:00,4.25,5.45
2025-08-17 17:00:00-04:00,2.7,3.95
2025-08-17 18:00:00-04:00,0.5,2.35
2025-08-17 19:00:00-04:00,0.1,0.95
2025-08-17 20:00:00-04:00,0.1,0.15
2025-08-17 21:00:00-04:00,0.0,0.0
2025-08-17 22:00:00-04:00,0.0,0.0
2025-08-17 23:00:00-04:00,0.0,0.0
