datetime_local,UVI_all,UVI_clear
2025-06-21 00:00:00+01:00,0.00,0.00
2025-06-21 01:00:00+01:00,0.00,0.00
2025-06-21 02:00:00+01:00,0.00,0.00
2025-06-21 03:00:00+01:00,0.00,0.00
2025-06-21 04:00:00+01:00,0.00,0.00
2025-06-21 05:00:00+01:00,0.10,0.10
2025-06-21 06:00:00+01:00,0.60,0.60
2025-06-21 07:00:00+01:00,1.60,1.60
2025-06-21 08:00:00+01:00,3.00,3.00
2025-06-21 09:00:00+01:00,4.50,4.50
2025-06-21 10:00:00+01:00,5.80,5.80
2025-06-21 11:00:00+01:00,6.70,6.70
2025-06-21 12:00:00+01:00,7.20,7.20
2025-06-21 13:00:00+01:00,7.30,7.30
2025-06-21 14:00:00+01:00,7.00,7.00
2025-06-21 15:00:00+01:00,6.30,6.30
2025-06-21 16:00:00+01:00,5.10,5.10
2025-06-21 17:00:00+01:00,3.80,3.80
2025-06-21 18:00:00+01:00,2.40,2.40
2025-06-21 19:00:00+01:00,1.20,1.20
2025-06-21 20:00:00+01:00,0.50,0.50
2025-06-21 21:00:00+01:00,0.10,0.10
2025-06-21 22:00:00+01:00,0.00,0.00
2025-06-21 23:00:00+01:00,0.00,0.00
