datetime_local,UVI_all,UVI_clear
2025-08-17 00:00:00-07:00,0.0,0.0
2025-08-17 01:00:00-07:00,0.0,0.0
2025-08-17 02:00:00-07:00,0.0,0.0
2025-08-17 03:00:00-07:00,0.0,0.0
2025-08-17 04:00:00-07:00,0.0,0.0
2025-08-17 05:00:00-07:00,0.0,0.0
2025-08-17 06:00:00-07:00,0.0,0.0
2025-08-17 07:00:00-07:00,0.1,0.1
2025-08-17 08:00:00-07:00,1.0,1.0
2025-08-17 09:00:00-07:00,2.55,2.55
2025-08-17 10:00:00-07:00,4.4,4.4
2025-08-17 11:00:00-07:00,6.1,6.1
2025-08-17 12:00:00-07:00,7.4,7.4
2025-08-17 13:00:00-07:00,8.05,8.05
2025-08-17 14:00:00-07:00,8.05,8.05
2025-08-17 15:00:00-07:00,7.3,7.3
2025-08-17 16:00:00-07:00,5.95,5.95
2025-08-17 17:00:00-07:00,4.2,4.2
2025-08-17 18:00:00-07:00,2.4,2.4
2025-08-17 19:00:00-07:00,0.85,0.85
2025-08-17 20:00:00-07:00,0.1,0.1
2025-08-17 21:00:00-07:00,0.0,0.0
2025-08-17 22:00:00-07:00,0.0,0.0
2025-08-17 23:00:00-07:00,0.0,0.0
