datetime_local,UVI_all,UVI_clear
2025-08-17 00:00:00-05:00,0.0,0.0
2025-08-17 01:00:00-05:00,0.0,0.0
2025-08-17 02:00:00-05:00,0.0,0.0
2025-08-17 03:00:00-05:00,0.0,0.0
2025-08-17 04:00:00-05:00,0.0,0.0
2025-08-17 05:00:00-05:00,0.0,0.0
2025-08-17 06:00:00-05:00,0.0,0.0
2025-08-17 07:00:00-05:00,0.15,0.2
2025-08-17 08:00:00-05:00,0.85,1.0
2025-08-17 09:00:00-05:00,2.05,2.3
2025-08-17 10:00:00-05:00,2.4,3.7
2025-08-17 11:00:00-05:00,3.0,5.1
2025-08-17 12:00:00-05:00,3.75,6.15
2025-08-17 13:00:00-05:00,3.05,6.7
2025-08-17 14:00:00-05:00,4.8,6.7
2025-08-17 15:00:00-05:00,5.2,6.1
2025-08-17 16:00:00-05:00,4.3,4.95
2025-08-17 17:00:00-05:00,2.8,3.5
2025-08-17 18:00:00-05:00,2.05,2.05
2025-08-17 19:00:00-05:00,0.8,0.85
2025-08-17 20:00:00-05:00,0.1,0.1
2025-08-17 21:00:00-05:00,0.0,0.0
2025-08-17 22:00:00-05:00,0.0,0.0
2025-08-17 23:00:00-05:00,0.0,0.0
