datetime_local,UVI_all,UVI_clear
2025-09-02 00:00:00+01:00,0.0,0.0
2025-09-02 01:00:00+01:00,0.0,0.0
2025-09-02 02:00:00+01:00,0.0,0.0
2025-09-02 03:00:00+01:00,0.0,0.0
2025-09-02 04:00:00+01:00,0.0,0.0
2025-09-02 05:00:00+01:00,0.0,0.0
2025-09-02 06:00:00+01:00,0.0,0.0
2025-09-02 07:00:00+01:00,0.1,0.1
2025-09-02 08:00:00+01:00,0.65,0.65
2025-09-02 09:00:00+01:00,1.45,1.6
2025-09-02 10:00:00+01:00,2.4,2.75
2025-09-02 11:00:00+01:00,3.2,3.85
2025-09-02 12:00:00+01:00,1.1,4.7
2025-09-02 13:00:00+01:00,1.0,5.2
2025-09-02 14:00:00+01:00,0.9,5.05
2025-09-02 15:00:00+01:00,0.45,4.5
2025-09-02 16:00:00+01:00,0.8,3.7
2025-09-02 17:00:00+01:00,0.4,2.6
2025-09-02 18:00:00+01:00,1.4,1.55
2025-09-02 19:00:00+01:00,0.55,0.65
2025-09-02 20:00:00+01:00,0.05,0.1
2025-09-02 21:00:00+01:00,0.0,0.0
2025-09-02 22:00:00+01:00,0.0,0.0
2025-09-02 23:00:00+01:00,0.0,0.0
