datetime_local,UVI_all,UVI_clear
2025-09-02 00:00:00+10:00,0.0,0.0
2025-09-02 01:00:00+10:00,0.0,0.0
2025-09-02 02:00:00+10:00,0.0,0.0
2025-09-02 03:00:00+10:00,0.0,0.0
2025-09-02 04:00:00+10:00,0.0,0.0
2025-09-02 05:00:00+10:00,0.0,0.0
2025-09-02 06:00:00+10:00,0.0,0.0
2025-09-02 07:00:00+10:00,0.0,0.0
2025-09-02 08:00:00+10:00,0.45,0.5
2025-09-02 09:00:00+10:00,1.55,1.6
2025-09-02 10:00:00+10:00,2.95,2.95
2025-09-02 11:00:00+10:00,2.0,4.1
2025-09-02 12:00:00+10:00,3.8,4.85
2025-09-02 13:00:00+10:00,2.35,5.05
2025-09-02 14:00:00+10:00,4.5,4.65
2025-09-02 15:00:00+10:00,2.9,3.75
2025-09-02 16:00:00+10:00,1.45,2.5
2025-09-02 17:00:00+10:00,1.05,1.2
2025-09-02 18:00:00+10:00,0.2,0.25
2025-09-02 19:00:00+10:00,0.0,0.0
2025-09-02 20:00:00+10:00,0.0,0.0
2025-09-02 21:00:00+10:00,0.0,0.0
2025-09-02 22:00:00+10:00,0.0,0.0
2025-09-02 23:00:00+10:00,0.0,0.0
