datetime_local,UVI_all,UVI_clear
2025-08-17 00:00:00+02:00,0.00,0.00
2025-08-17 01:00:00+02:00,0.00,0.00
2025-08-17 02:00:00+02:00,0.00,0.00
2025-08-17 03:00:00+02:00,0.00,0.00
2025-08-17 04:00:00+02:00,0.00,0.00
2025-08-17 05:00:00+02:00,0.00,0.00
2025-08-17 06:00:00+02:00,0.25,0.25
2025-08-17 07:00:00+02:00,1.80,1.80
2025-08-17 08:00:00+02:00,4.10,4.10
2025-08-17 09:00:00+02:00,6.70,6.70
2025-08-17 10:00:00+02:00,8.70,8.70
2025-08-17 11:00:00+02:00,9.70,9.70
2025-08-17 12:00:00+02:00,10.20,10.20
2025-08-17 13:00:00+02:00,10.00,10.00
2025-08-17 14:00:00+02:00,8.70,8.70
2025-08-17 15:00:00+02:00,6.60,6.60
2025-08-17 16:00:00+02:00,4.30,4.30
2025-08-17 17:00:00+02:00,2.20,2.20
2025-08-17 18:00:00+02:00,0.80,0.80
2025-08-17 19:00:00+02:00,0.10,0.10
2025-08-17 20:00:00+02:00,0.00,0.00
2025-08-17 21:00:00+02:00,0.00,0.00
2025-08-17 22:00:00+02:00,0.00,0.00
2025-08-17 23:00:00+02:00,0.00,0.00
