datetime_local,UVI_clear_sky,UVI_all_sky,E_ery_Wm2,dose_Jm2,dose_SED
2025-08-17 18:33:00+02:00,2.6240688195107236,2.45754137519562,0.0614385343798905,4567.2693001915,45.67269300191501
2025-08-17 18:34:00+02:00,2.5899898937953467,2.420644400739497,0.060516110018487425,4570.90026679261,45.7090026679261
2025-08-17 18:35:00+02:00,2.5559590619741774,2.3839233558797615,0.05959808389699404,4574.4761518264295,45.7447615182643
2025-08-17 18:36:00+02:00,2.5219778062438736,2.347379342734682,0.05868448356836705,4577.997220840532,45.77997220840532
2025-08-17 18:37:00+02:00,2.4880476200850814,2.311013462502104,0.057775336562552605,4581.463741034285,45.81463741034285
2025-08-17 18:38:00+02:00,2.4541700086369986,2.274826815698141,0.056870670392453526,4584.875981257832,45.84875981257832
2025-08-17 18:39:00+02:00,2.4203464890899538,2.238820502408207,0.055970512560205174,4588.2342120114445,45.882342120114444
2025-08-17 18:40:00+02:00,2.386578591097252,2.2029956225513097,0.055074890563782744,4591.538705445271,45.915387054452715
2025-08-17 18:41:00+02:00,2.3528678572071327,2.1673532761581087,0.05418383190395272,4594.789735359508,45.94789735359508
2025-08-17 18:42:00+02:00,2.3192158433163037,2.131894563663833,0.05329736409159582,4597.987577205004,45.979875772050036
2025-08-17 18:43:00+02:00,2.2856241191460747,2.0966205862166873,0.05241551465541718,4601.132508084329,46.01132508084329
2025-08-17 18:44:00+02:00,2.2520942687425487,2.0615324460027944,0.05153831115006986,4604.224806753333,46.04224806753333
2025-08-17 18:45:00+02:00,2.2186278910023716,2.0266312465887046,0.050665781164717615,4607.264753623216,46.07264753623216
2025-08-17 18:46:00+02:00,2.1852266002254326,1.9919180932824132,0.04979795233206033,4610.25263076314,46.10252630763139
2025-08-17 18:47:00+02:00,2.151892026696413,1.957394093514237,0.048934852337855925,4613.188721903411,46.131887219034105
2025-08-17 18:48:00+02:00,2.1186258172967554,1.9230603572385931,0.04807650893096483,4616.073312439268,46.160733124392685
2025-08-17 18:49:00+02:00,2.0854296361491653,1.888917997358186,0.04722294993395465,4618.906689435305,46.189066894353054
2025-08-17 18:50:00+02:00,2.052305165296616,1.8549681301719412,0.04637420325429853,4621.689141630563,46.216891416305636
2025-08-17 18:51:00+02:00,2.019254105418185,1.8212118758483242,0.045530296896208106,4624.4209594443355,46.244209594443355
2025-08-17 18:52:00+02:00,1.9862781765840956,1.7876503589256858,0.04469125897314215,4627.102434982724,46.271024349827236
2025-08-17 18:53:00+02:00,1.953379119052605,1.754284708841474,0.04385711772103685,4629.733862045986,46.29733862045986
2025-08-17 18:54:00+02:00,1.9205586941115826,1.7211160604923028,0.04302790151230757,4632.315536136724,46.32315536136724
2025-08-17 18:55:00+02:00,1.8878186849678456,1.6881455548270154,0.04220363887067539,4634.847754468965,46.34847754468965
2025-08-17 18:56:00+02:00,1.8551608976875904,1.6553743394750804,0.04138435848687701,4637.330815978177,46.37330815978177
2025-08-17 18:57:00+02:00,1.822587162191476,1.6228035694127947,0.040570089235319864,4639.765021332297,46.39765021332297
2025-08-17 18:58:00+02:00,1.790099333308412,1.5904344076701658,0.03976086019175414,4642.150672943802,46.42150672943802
2025-08-17 18:59:00+02:00,1.7576992918921286,1.5582680260812907,0.038956700652032265,4644.488074982924,46.444880749829245
2025-08-17 19:00:00+02:00,2.637086009455558,2.332806854518378,0.05832017136295945,4647.987285264702,46.47987285264702
2025-08-17 19:01:00+02:00,2.5878428984012523,2.265468451869643,0.05663671129674107,4651.385487942507,46.51385487942507
2025-08-17 19:02:00+02:00,2.5387428432060717,2.1991588646062845,0.054978971615157114,4654.684226239417,46.546842262394165
2025-08-17 19:03:00+02:00,2.4897888969258934,2.133876766147384,0.0533469191536846,4657.885041388638,46.57885041388638
2025-08-17 19:04:00+02:00,2.4409841626408078,2.0696207601193852,0.05174051900298463,4660.989472528817,46.60989472528817
2025-08-17 19:05:00+02:00,2.392331795912775,2.006389380119154,0.05015973450297885,4663.999056598996,46.639990565989955
2025-08-17 19:06:00+02:00,2.343835007405404,1.9441810894760208,0.04860452723690052,4666.91532823321,46.6691532823321
2025-08-17 19:07:00+02:00,2.29549706567917,1.8829942810133187,0.04707485702533297,4669.73981965473,46.697398196547304
2025-08-17 19:08:00+02:00,2.247321300176973,1.8228272768102112,0.04557068192025528,4672.474060569945,46.72474060569945
2025-08-17 19:09:00+02:00,2.199311104416006,1.7636783279643737,0.04409195819910934,4675.119578061892,46.75119578061892
2025-08-17 19:10:00+02:00,2.151469939404368,1.7055456143568812,0.04263864035892203,4677.6778964834275,46.77677896483428
2025-08-17 19:11:00+02:00,2.1038013373018822,1.6484272444200856,0.04121068111050214,4680.150537350058,46.801505373500575
2025-08-17 19:12:00+02:00,2.0563089053474863,1.5923212549101047,0.039808031372752614,4682.539019232423,46.82539019232423
2025-08-17 19:13:00+02:00,2.008996330077593,1.5372256106854403,0.03843064026713601,4684.844857648452,46.848448576484515
2025-08-17 19:14:00+02:00,1.9618673818626953,1.4831382044936356,0.03707845511234089,4687.069564955192,46.87069564955192
2025-08-17 19:15:00+02:00,1.9149259197927788,1.430056856768325,0.035751421419208125,4689.214650240344,46.89214650240344
2025-08-17 19:16:00+02:00,1.8681758969453515,1.377979315439178,0.034449482885979446,4691.281619213502,46.912816192135026
2025-08-17 19:17:00+02:00,1.8216213660743932,1.3269032557580356,0.03317258139395089,4693.27197409714,46.9327197409714
