datetime_local,UVI_clear_sky,UVI_all_sky,E_ery_Wm2,dose_Jm2,dose_SED
2025-08-17 13:05:00-03:00,4.780540817729432,1.2773446114633946,0.031933615286584865,539.0291968587022,5.3902919685870225
2025-08-17 13:06:00-03:00,4.779579827391659,1.288441754888033,0.03221104387220082,540.9618594910343,5.409618594910342
2025-08-17 13:07:00-03:00,4.778487623550233,1.299498649428911,0.032487466235722774,542.9111074651777,5.429111074651777
2025-08-17 13:08:00-03:00,4.77726424210929,1.310514369840276,0.0327628592460069,544.8768790199381,5.448768790199381
2025-08-17 13:09:00-03:00,4.775909723275456,1.3214879924080303,0.03303719981020076,546.8591110085501,5.468591110085502
2025-08-17 13:10:00-03:00,4.774424111557323,1.3324185950006882,0.0333104648750172,548.8577389010512,5.488577389010512
2025-08-17 13:11:00-03:00,4.772807455764904,1.343305257120319,0.03358263142800798,550.8726967867317,5.508726967867317
2025-08-17 13:12:00-03:00,4.771059809009013,1.3541470599534617,0.03385367649883654,552.9039173766619,5.529039173766619
2025-08-17 13:13:00-03:00,4.769181228700593,1.3649430864220156,0.03412357716055039,554.9513320062949,5.54951332006295
2025-08-17 13:14:00-03:00,4.767171776550024,1.3756924212341144,0.03439231053085286,557.0148706381461,5.570148706381461
2025-08-17 13:15:00-03:00,4.765031518566324,1.3863941509349627,0.034659853773374064,559.0944618645486,5.590944618645486
2025-08-17 13:16:00-03:00,4.762760525056341,1.3970473639576533,0.03492618409894133,561.1900329104851,5.611900329104851
2025-08-17 13:17:00-03:00,4.7603588706238735,1.407651150673957,0.035191278766848924,563.301509636496,5.63301509636496
2025-08-17 13:18:00-03:00,4.757826634168753,1.4182046034450853,0.03545511508612713,565.4288165416637,5.654288165416636
2025-08-17 13:19:00-03:00,4.755163898885849,1.4287068166724175,0.03571767041681044,567.5718767666723,5.675718767666723
2025-08-17 13:20:00-03:00,4.752370752264058,1.4391568868482099,0.03597892217120525,569.7306120969446,5.697306120969446
2025-08-17 13:21:00-03:00,4.749447286085212,1.4495539126062635,0.036238847815156586,571.9049429658539,5.719049429658539
2025-08-17 13:22:00-03:00,4.7463935964229576,1.4598969947725702,0.03649742486931425,574.0947884580128,5.740947884580128
2025-08-17 13:23:00-03:00,4.743209783641569,1.4701852364159211,0.03675463091039803,576.3000663126367,5.763000663126366
2025-08-17 13:24:00-03:00,4.739895952394718,1.480417742898483,0.037010443572462075,578.5206929269843,5.785206929269844
2025-08-17 13:25:00-03:00,4.736452211624203,1.4905936219263463,0.03726484054815866,580.7565833598738,5.807565833598739
2025-08-17 13:26:00-03:00,4.732878674558623,1.5007119836000378,0.03751779959000094,583.0076513352739,5.830076513352739
2025-08-17 13:27:00-03:00,4.729175458711988,1.5107719404649929,0.03776929851162482,585.2738092459714,5.852738092459714
2025-08-17 13:28:00-03:00,4.725342685882311,1.5207726075620016,0.03801931518905004,587.5549681573144,5.875549681573144
2025-08-17 13:29:00-03:00,4.721380482150138,1.5307131024776168,0.03826782756194042,589.8510378110309,5.898510378110309
2025-08-17 13:30:00-03:00,4.71728897787702,1.54059254539452,0.038514813634863,592.1619266291227,5.921619266291227
2025-08-17 13:31:00-03:00,4.713068307703964,1.5504100591418597,0.03876025147854649,594.4875417178355,5.944875417178355
2025-08-17 13:32:00-03:00,4.708718610549818,1.5601647692455463,0.039004119231138654,596.8277888717038,5.968277888717037
2025-08-17 13:33:00-03:00,4.704240029609621,1.5698558039785115,0.03924639509946279,599.1825725776715,5.991825725776716
2025-08-17 13:34:00-03:00,4.699632712352908,1.579482294410928,0.0394870573602732,601.551796019288,6.01551796019288
2025-08-17 13:35:00-03:00,4.694896810521969,1.5890433744603925,0.03972608436150981,603.9353610809785,6.039353610809785
2025-08-17 13:36:00-03:00,4.690032480130063,1.5985381809420653,0.039963454523551635,606.3331683523916,6.0633316835239155
2025-08-17 13:37:00-03:00,4.685039881459601,1.6079658536187758,0.040199146340469394,608.7451171328197,6.087451171328197
2025-08-17 13:38:00-03:00,4.67991917906027,1.6173255352510807,0.04043313838127702,611.1711054356963,6.111711054356963
2025-08-17 13:39:00-03:00,4.674670541747139,1.6266163716472912,0.04066540929118228,613.6110299931672,6.136110299931672
2025-08-17 13:40:00-03:00,4.669294142598702,1.6358375117134472,0.04089593779283618,616.0647862607374,6.160647862607374
2025-08-17 13:41:00-03:00,4.663790158954892,1.6449881075032573,0.041124702687581435,618.5322684219923,6.185322684219923
2025-08-17 13:42:00-03:00,4.658158772415068,1.6540673142679998,0.041351682856699996,621.0133693933943,6.210133693933943
2025-08-17 13:43:00-03:00,4.652400168835947,1.6630742905063722,0.041576857262659306,623.5079808291539,6.235079808291539
2025-08-17 13:44:00-03:00,4.646514538329503,1.6720081980143058,0.04180020495035765,626.0159931261753,6.260159931261753
2025-08-17 13:45:00-03:00,4.640502075260842,1.6808682019347352,0.04202170504836838,628.5372954290774,6.285372954290774
2025-08-17 13:46:00-03:00,4.634362978246028,1.6896534708073234,0.04224133677018309,631.0717756352884,6.310717756352884
2025-08-17 13:47:00-03:00,4.628097450149887,1.6983631766181468,0.04245907941545367,633.6193204002157,6.336193204002156
2025-08-17 13:48:00-03:00,4.6217056980837645,1.7069964948493317,0.04267491237123329,636.1798151424897,6.361798151424897
2025-08-17 13:49:00-03:00,4.615187933403276,1.7155526045286553,0.042888815113216384,638.7531440492827,6.387531440492827
2025-08-17 13:50:00-03:00,4.60854437170599,1.724030688279092,0.043100767206977295,641.3391900817013,6.413391900817013
2025-08-17 13:51:00-03:00,4.601775232829119,1.7324299323683265,0.04331074830920816,643.9378349802538,6.439378349802538
2025-08-17 13:52:00-03:00,4.5948807408471595,1.7407495267582183,0.043518738168955455,646.5489592703912,6.4654895927039115
2025-08-17 13:53:00-03:00,4.587861124069503,1.7489886651542166,0.043724716628855416,649.1724422681225,6.491724422681225
2025-08-17 13:54:00-03:00,4.580716615038046,1.7571465450547454,0.04392866362636864,651.8081620857046,6.518081620857045
2025-08-17 13:55:00-03:00,4.5734474505247364,1.7652223678005279,0.0441305591950132,654.4559956374054,6.544559956374054
2025-08-17 13:56:00-03:00,4.566053871529137,1.773215338623883,0.044330383465597076,657.1158186453413,6.571158186453413
2025-08-17 13:57:00-03:00,4.558536123275932,1.7811246666979639,0.044528116667449096,659.7875056453883,6.597875056453883
2025-08-17 13:58:00-03:00,4.550894455212434,1.7889495651859633,0.04472373912964908,662.4709299931671,6.624709299931672
2025-08-17 13:59:00-03:00,4.543129121006063,1.7966892512902686,0.04491723128225671,665.1659638701026,6.651659638701026
2025-08-17 14:00:00-03:00,4.983914193061835,1.9828475821858913,0.04957118955464728,668.1402352433814,6.681402352433814
2025-08-17 14:01:00-03:00,4.975109683910346,2.016128514117729,0.050403212852943226,671.164428014558,6.71164428014558
2025-08-17 14:02:00-03:00,4.96617013834302,2.049223531646106,0.051230588291152644,674.2382633120271,6.742382633120271
2025-08-17 14:03:00-03:00,4.957095853645082,2.0821297644378767,0.05205324411094692,677.3614579586839,6.773614579586839
2025-08-17 14:04:00-03:00,4.9478871317252455,2.114844352928074,0.052871108823201854,680.533724488076,6.80533724488076
2025-08-17 14:05:00-03:00,4.938544279112848,2.1473644484895895,0.05368411121223974,683.7547711608104,6.837547711608104
2025-08-17 14:06:00-03:00,4.929067606954969,2.1796872136027066,0.05449218034006766,687.0243019812144,6.870243019812144
2025-08-17 14:07:00-03:00,4.919457431013545,2.211809822024516,0.0552952455506129,690.3420167142511,6.903420167142511
2025-08-17 14:08:00-03:00,4.909714071662482,2.243729458958195,0.05609323647395488,693.7076109026884,6.937076109026885
2025-08-17 14:09:00-03:00,4.8998378538847565,2.2754433212221574,0.05688608303055394,697.1207758845217,6.971207758845217
2025-08-17 14:10:00-03:00,4.8898291072695095,2.3069486174190685,0.05767371543547671,700.5811988106502,7.005811988106502
2025-08-17 14:11:00-03:00,4.879688166009156,2.338242568104741,0.05845606420261853,704.0885626628074,7.040885626628073
2025-08-17 14:12:00-03:00,4.8694153688964725,2.369322405956891,0.05923306014892228,707.6425462717427,7.0764254627174275
2025-08-17 14:13:00-03:00,4.85901105932171,2.400185375943775,0.06000463439859437,711.2428243356584,7.112428243356584
2025-08-17 14:14:00-03:00,4.848475585269705,2.4308287354927027,0.06077071838731757,714.8890674388974,7.148890674388975
2025-08-17 14:15:00-03:00,4.837809299316981,2.461249754658413,0.061531243866460326,718.580942070885,7.185809420708851
2025-08-17 14:16:00-03:00,4.82701255862889,2.4914457162913446,0.06228614290728361,722.318110645322,7.22318110645322
2025-08-17 14:17:00-03:00,4.816085724956741,2.5214139162057707,0.06303534790514427,726.1002315196307,7.261002315196307
2025-08-17 14:18:00-03:00,4.805029164634957,2.5511516633478206,0.06377879158369551,729.9269590146524,7.299269590146524
2025-08-17 14:19:00-03:00,4.793843248578246,2.5806562799633883,0.0645164069990847,733.7979434345975,7.337979434345975
2025-08-17 14:20:00-03:00,4.782528352278779,2.6099251017659126,0.06524812754414781,737.7128310872464,7.377128310872464
2025-08-17 14:21:00-03:00,4.771084855803419,2.6389554781040667,0.06597388695260167,741.6712643044025,7.416712643044025
2025-08-17 14:22:00-03:00,4.759513143790932,2.6677447721293057,0.06669361930323264,745.6728814625965,7.456728814625965
2025-08-17 14:23:00-03:00,4.747813605449283,2.696290360963351,0.06740725902408377,749.7173170040415,7.497173170040416
2025-08-17 14:24:00-03:00,4.73598663455289,2.724589635865518,0.06811474089663795,753.8042014578398,7.538042014578398
2025-08-17 14:25:00-03:00,4.72403262943998,2.752640002399992,0.0688160000599998,757.9331614614398,7.579331614614398
2025-08-17 14:26:00-03:00,4.711951993009929,2.7804388806029703,0.06951097201507425,762.1038197823442,7.621038197823442
2025-08-17 14:27:00-03:00,4.699745132720683,2.807983705149736,0.0701995926287434,766.3157953400688,7.663157953400688
2025-08-17 14:28:00-03:00,4.687412460586178,2.8352719255216217,0.07088179813804055,770.5687032283512,7.705687032283512
2025-08-17 14:29:00-03:00,4.674954393173837,2.8623010061728977,0.07155752515432244,774.8621547376106,7.748621547376106
2025-08-17 14:30:00-03:00,4.662371351602108,2.889068426697582,0.07222671066743955,779.195757377657,7.791957573776569
2025-08-17 14:31:00-03:00,4.649663761538043,2.915571681996164,0.0728892920499041,783.5691149006512,7.835691149006513
2025-08-17 14:32:00-03:00,4.636832053194932,2.941808282442251,0.07354520706105627,787.9818273243146,7.8798182732431465
2025-08-17 14:33:00-03:00,4.623876661330023,2.9677757540491734,0.07419439385122933,792.4334909553884,7.924334909553884
2025-08-17 14:34:00-03:00,4.610798025242257,2.9934716386364966,0.07483679096591242,796.9236984133431,7.969236984133431
2025-08-17 14:35:00-03:00,4.597596588770113,3.018893493996496,0.0754723373499124,801.4520386543379,8.01452038654338
2025-08-17 14:36:00-03:00,4.584272800289494,3.0440388940605745,0.07610097235151436,806.0180969954288,8.060180969954288
2025-08-17 14:37:00-03:00,4.570827112711688,3.068905429065632,0.0767226357266408,810.6214551390273,8.106214551390273
2025-08-17 14:38:00-03:00,4.557259983481426,3.093490705720409,0.07733726764301022,815.2616911976079,8.152616911976079
2025-08-17 14:39:00-03:00,4.543571874575006,3.1177923473717915,0.07794480868429479,819.9383797186656,8.199383797186655
2025-08-17 14:40:00-03:00,4.529763252498484,3.1418079941710797,0.07854519985427699,824.6510917099222,8.246510917099222
2025-08-17 14:41:00-03:00,4.515834588285994,3.165535303240263,0.07913838258100657,829.3993946647826,8.293993946647825
2025-08-17 14:42:00-03:00,4.501786357498139,3.188971948838277,0.07972429872095692,834.18285258804,8.3418285258804
2025-08-17 14:43:00-03:00,4.4876190402204665,3.2121156225272425,0.08030289056318106,839.0010260218309,8.39001026021831
