datetime_local,UVI_clear_sky,UVI_all_sky,E_ery_Wm2,dose_Jm2,dose_SED
2025-08-17 08:03:00+02:00,2.8624175548599586,2.8624175548599586,0.07156043887149896,169.85934243946448,1.6985934243946448
2025-08-17 08:04:00+02:00,2.897497454066707,2.897497454066707,0.07243743635166768,174.20558862056455,1.7420558862056454
2025-08-17 08:05:00+02:00,2.9326122319069214,2.9326122319069214,0.07331530579767304,178.60450696842494,1.7860450696842494
2025-08-17 08:06:00+02:00,2.9677604339829236,2.9677604339829236,0.07419401084957308,183.05614761939933,1.8305614761939932
2025-08-17 08:07:00+02:00,3.0029406150590625,3.0029406150590625,0.07507351537647657,187.56055854198792,1.8756055854198792
2025-08-17 08:08:00+02:00,3.0381513388118524,3.0381513388118524,0.07595378347029631,192.1177855502057,1.9211778555020569
2025-08-17 08:09:00+02:00,3.073391177590865,3.073391177590865,0.07683477943977163,196.727872316592,1.96727872316592
2025-08-17 08:10:00+02:00,3.108658712189883,3.108658712189883,0.07771646780474709,201.39086038487682,2.013908603848768
2025-08-17 08:11:00+02:00,3.1439525316277654,3.1439525316277654,0.07859881329069414,206.10678918231847,2.0610678918231846
2025-08-17 08:12:00+02:00,3.1792712329386545,3.1792712329386545,0.07948178082346637,210.87569603172645,2.1087569603172645
2025-08-17 08:13:00+02:00,3.2146134209710158,3.2146134209710158,0.0803653355242754,215.69761616318297,2.15697616163183
2025-08-17 08:14:00+02:00,3.249977708195161,3.249977708195161,0.08124944270487902,220.5725827254757,2.2057258272547573
2025-08-17 08:15:00+02:00,3.28536271451883,3.28536271451883,0.08213406786297076,225.50062679725397,2.2550062679725396
2025-08-17 08:16:00+02:00,3.320767067110474,3.320767067110474,0.08301917667776185,230.48177739791967,2.3048177739791966
2025-08-17 08:17:00+02:00,3.356189400229904,3.356189400229904,0.0839047350057476,235.51606149826452,2.3551606149826454
2025-08-17 08:18:00+02:00,3.3916283550660036,3.3916283550660036,0.08479070887665009,240.60350403086352,2.4060350403086352
2025-08-17 08:19:00+02:00,3.4270825795811044,3.4270825795811044,0.08567706448952761,245.74412790023518,2.4574412790023517
2025-08-17 08:20:00+02:00,3.4625507283618564,3.4625507283618564,0.0865637682090464,250.93795399277798,2.50937953992778
2025-08-17 08:21:00+02:00,3.498031462476205,3.498031462476205,0.08745078656190512,256.1850011864923,2.561850011864923
2025-08-17 08:22:00+02:00,3.5335234493362844,3.5335234493362844,0.08833808623340711,261.48528636049673,2.6148528636049675
2025-08-17 08:23:00+02:00,3.569025362566935,3.569025362566935,0.08922563406417337,266.8388244043471,2.6683882440434714
2025-08-17 08:24:00+02:00,3.6045358818796114,3.6045358818796114,0.09011339704699028,272.24562822716655,2.7224562822716654
2025-08-17 08:25:00+02:00,3.640053692951494,3.640053692951494,0.09100134232378734,277.7057087665938,2.7770570876659377
2025-08-17 08:26:00+02:00,3.6755774873095146,3.6755774873095146,0.09188943718273787,283.21907499755804,2.8321907499755805
2025-08-17 08:27:00+02:00,3.711105962219174,3.711105962219174,0.09277764905547935,288.7857339408868,2.887857339408868
2025-08-17 08:28:00+02:00,3.746637820577896,3.746637820577896,0.0936659455144474,294.40569067175363,2.9440569067175364
2025-08-17 08:29:00+02:00,3.7821717708127576,3.7821717708127576,0.09455429427031894,300.0789483279728,3.000789483279728
2025-08-17 08:30:00+02:00,3.8177065267824175,3.8177065267824175,0.09544266316956043,305.8055081181464,3.058055081181464
2025-08-17 08:31:00+02:00,3.8532408076830826,3.8532408076830826,0.09633102019207707,311.58536932967104,3.1158536932967102
2025-08-17 08:32:00+02:00,3.888773337958315,3.888773337958315,0.09721933344895788,317.4185293366085,3.1741852933660852
2025-08-17 08:33:00+02:00,3.9243028472125845,3.9243028472125845,0.09810757118031461,323.3049836074274,3.233049836074274
2025-08-17 08:34:00+02:00,3.959828070128379,3.959828070128379,0.09899570175320947,329.24472571262,3.2924472571262
2025-08-17 08:35:00+02:00,3.995347746386746,3.995347746386746,0.09988369365966865,335.2377473322001,3.3523774733220013
2025-08-17 08:36:00+02:00,4.030860620591127,4.030860620591127,0.10077151551477817,341.2840382630868,3.412840382630868
2025-08-17 08:37:00+02:00,4.066365442194377,4.066365442194377,0.10165913605485943,347.3835864263784,3.473835864263784
2025-08-17 08:38:00+02:00,4.101860965428822,4.101860965428822,0.10254652413572055,353.5363778745216,3.5353637787452157
2025-08-17 08:39:00+02:00,4.137345949239259,4.137345949239259,0.10343364873098146,359.74239679838047,3.5974239679838047
2025-08-17 08:40:00+02:00,4.172819157218777,4.172819157218777,0.10432047893046943,366.00162553420864,3.6600162553420863
